operator,station_count
T XPRESS,2
OROSOL,2
MARKTTANKSTELLE,2
MTB TANKSTELLE,2
CALPAM EXPRESS 24/7 TANKEN,2
LD TANKSTELLE,2
EIXOL,2
PFEFFER,2
LUDGER BRÄMSWIG GMBH,2
FREIE TANKSTELLE ROLFES,2
SCHWARZ,2
STIEGLER,2
NUSSER,2
REWE TANKSTELLE,2
ECO,2
SUN,2
KATTNER'S FREIE TANKSTELLE GMBH,2
SCHWAIGER FREIE TANKSTELLE,2
SB TANKEN,2
WEBER,2
DK ENERGIEHANDEL,2
METANK,2
TANK PLUS,2
HELFTAER MINERALÖLHANDEL GMBH,2
RWG BISSEL-HALENHORST EG,2
FIP,2
H. SATTLER KG,2
SPRIT POINT,2
HAISCH TANKCENTER,2
T & W,2
BFT-TANKSTELLE HÖLKER GMBH,2
TANKSTOP 24H,2
STEIGLEITER,2
SCHILLHORN TANKSTELLE,2
AUTOWELT BAD SAULGAU GMBH,2
CALPAM EXPRESS 6-22H TANKEN,2
SEEL,2
TANKSTELLE KASSNER GMBH,2
NORDOEL 24H TANKAUTOMAT,2
HAWA FLÜSSIGGAS GMBH,2
TANK & SHOP,2
MANDLER TANK & WASCH,2
WEIDEMANN-TANK,2
CLASSIC TANKSTELLE,2
EKTRA,2
BUNTE MINERALÖLHANDEL GMBH,2
TANKPORT SÜD,1
FREIE TANKSTELLE NEUSAESS,1
ADAMS,1
STOFFMEHL,1
TANKSTELLE & ESPRESSOBAR NARDI,1
TANKSTELLE HOCHSPEYER 24H,1
BEHRINGER TANKSTELLE,1
UNSIN TANKSTELLE,1
TANKCENTER EUROPOINT,1
BFT WILLIG´S GTR-TANKHOF,1
STEIGERWALDMOBILE,1
TANKSTELLE KLINGER,1
BEHRINGER 24H TS,1
TANKSTELLE SCHIENER GBR,1
STARKSTELLE,1
TOTAL (HERM),1
HUBERT THIELE GMBH,1
TANKSTELLE MAUERMAYER & JÄGER,1
EINHÄUPL,1
ALB-DONAU-CENTER,1
GILLET,1
EBERHARDT FORST,1
EDEKA BRAUN TANKSTELLE,1
AMIDI FREIE TANKSTELLE,1
FREIE TANKSTELLE LAUFER,1
MGS TANKSTELLE,1
GÜNSTIGE TANKSTELLE SCHAAL,1
BFT MIROLD,1
BRANDOL,1
TANKSTELLE KLÜVER,1
EBERHARDT HAMBRÜCKEN,1
SCHNORBERGER,1
RUNDEL MINERALÖLVERTRIEB,1
TANKSTELLE MIT BEDIENUNG,1
RAPP - FREIE TANKSTELLE,1
SCHMID & ZIMMERMANN,1
ALBERT ZIMMERMANN GMBH,1
MTB - FILDERSTADT  FORD-STAUCH,1
LAMBERJOHANN,1
FREIE TANKSTELLE BAYER,1
TANKSTELLE LUKER,1
AUTOHAUS FRANZ SAALER OHG,1
ST2 TANKSTELLE,1
TANKHOF KENZINGEN,1
TS ARNT,1
GAP PETROL STATION,1
MTB AUTOMATENTANKSTELLE FELLBACH,1
VW THIEROLF,1
JOACHIM LANG TURMFELD,1
TANKSTELLE BREY,1
GRUBER FREIE TANKSTELLE,1
BAUER OELZAPF MINERALÖLVERTRIEB GMBH,1
SBK - TANKSTELLE,1
FREIE TANKSTELLE HIRSCHMANN,1
HÜTER EINKAUFSZENTRUM,1
AUTOHAUS RICHT OHG,1
EBERHARDT (DIEDELSHEIM),1
FREIE TANKSTELLE WAHL KG,1
AUTOHAUS SCHIMMEL E.K.,1
TOP,1
TREND TANK GMBH,1
MEURER FREIE TANKSTELLE,1
TANKSTELLE PFRANG  AUB,1
KLEMM,1
AUTO-WISSLER,1
TOBIAS LEHRE GMBH,1
FREIE TANKSTELLE PIPER,1
FREIE TANKSTELLE AUTOHAUS HÖRL GMBH,1
BFT BAHRENDORF,1
"AM PRÜFGELÄNDE, TANKSTELLE",1
LANFER,1
L.BAIERER,1
"SCHINDELE, LOCHBRÜCKE",1
MTB TANKSTELLE SAARBRÜCKEN,1
KFZ-WERKSTATT U. TANKSTELLE WINKLER,1
SCHOPP TANKSTELLE TÜBINGEN,1
BFT SEEHAUSEN WANZLEBEN,1
ULTSCH-TANKSTELLE BAMBERG,1
TANKSTELLE SCHREYER,1
BFT HORHEIM,1
TANKSTELLE OBERSTADION,1
FREIE TANKSTELLE EHMANN,1
AUTO RIEDEL,1
TANKHOF SAUERLACH,1
ASTALLER TANK-EXPRESS,1
FRITZ WALTER GMBH,1
AGRITURA RAIFFEISEN EG,1
EBERHARDT UBSTADT,1
AUTOHAUS HUBER - FREIE TANKSTELLE,1
TANK + WASCH PARADIES FUCHS,1
SB-TANKSTELLE ILLERPARK RIEDEN,1
FREIE TANKSTELLE LIMMER,1
ZENTRAL TANK,1
EGENOLF FREIE TS,1
EICHELE FREIE TANKSTELLE,1
TANKSTELLE GEBAUER,1
OTT TRANSPORTE-TANKSTELLE E.K.,1
AUTOHAUS NACHTMANN,1
RICHTER POOLTANKSTELLEN GMBH & CO.KG,1
BAG CREGLINGEN,1
NEEB TANK,1
AUTO WAHL SPORT OHG,1
AUTOCENTER THOMAS FISCHL E.K,1
TANK & WASCHCENTER ROHSIEPE,1
TS KARMANN TANKEN & MEHR,1
POWER KFZ,1
FREIE TANKSTELLE LANGHANS GMBH,1
BFT-TANKSTELLE KLOIBER GMBH,1
FREIE TANKSTELLE RABENECK,1
FREIE TANKSTELLE WESSELS,1
AUTOHAUS ANDRE,1
FREIE TANKSTELLE ZAJELSNIK,1
LAKOTA-REISEN,1
SONSTIGE,1
"E-CENTER, ROSSNAGEL",1
SCHREWE & FIP ENERGIEPART,1
BFT LUTZ GMBH VW-AUDI-SERVICE,1
TANKZENTRUM LACHER,1
FREIE TANKSTELLE ASL,1
BSB BENZINKONTOR GMBH & CO. KG,1
BEDUCKER,1
SCHMID TANK- UND WASCHCENTER,1
TANKPOOL24,1
FREIE TANKSTELLE HUBER,1
AUTOHAUS KÖNIG,1
TANK AM RING,1
GT BRENNSTOFFVERTRIEB GMBH,1
DIE ZAPFSÄULE KREFELD,1
EDEKA SENG,1
KLING ENERGIE,1
HAISCH-TANK,1
FREIE TANKSTELLE SCHÖLLMANN,1
AUTOHAUS RÖSE GBR,1
BFT AUTO-TEAM GMBH,1
FREIE WELLE,1
TANKSTELLE CASPAR LAUTERTAL,1
DEGLMANN TANKCENTER,1
FREIE TANKSTELLE WESSEL,1
FREIE TANKSTELLE DILL,1
FT MANGOLD,1
DEPPE FREIE TANKSTELLEN,1
GEORG HEINLEIN GMBH (FT),1
SPEED POINT EBLE,1
MÖBEL INHOFER GMBH & CO. KG,1
AUTOHAUS LUCKEY FREIE TANKST.,1
VORTEIL-CENTER,1
GRÜNING AUTOMOBILE KREMPEL,1
BFT TANKHAUS PENNEKAMP,1
EP TANKSTELLE,1
MTB-TANKSTELLE AH SCHLECHT,1
TANK & WASCHCENTER KIRCHBERG,1
TANKSTELLE SCHLOTTER,1
WILHELM CLAAS GMBH,1
SB ZENTRALMARKT,1
ANDREAS SAUTER GMBH & CO. KG,1
AUTOHAUS KAISER GMBH,1
QPT,1
PS-LADEN,1
TANKSTATION ST. INGBERT CALPAM,1
KESSEL BFT-TANKHOF,1
FREIE TANKSTELLE LENTE CENTER,1
DAS AUTO E.K.,1
EBERHARDT UNTERÖWISHEIM,1
JAY TANKSTELLE,1
REWE,1
TANKSTELLE BILY GMBH & CO KG,1
MTB / TANK-NETZ,1
FREIE KANNE TANKSTELLE,1
TANKSTELLE AUTOHAUS KUPER GMBH & CO.KG,1
TANKEN & WASCHEN HAAS,1
LANZINGER TANKE ASL,1
BFT PICKELMANN,1
HERM GMBH &CO.KG,1
RAIFFEISEN TANKVERBUND GMBH,1
FREIE TANKSTELLE RINCK,1
GERHARD LEGER GMBH - FREIE TANKSTELLE,1
ROMINGER BLAIER,1
TANKSTELLE SCHARLIBBE,1
KNIES + LAGOTKA TANKPOOL24,1
G.OVERHOFF GMBH,1
K+K KLAAS & KOCK,1
FREIE TANKSTELLE SALEWSKI,1
TANK- UND WASCHCENTER BSB IN BERSENBRÜCK,1
FREIE TANKSTELLE LEYH GMBH,1
AUTOHAUS WANKMÜLLER GMBH,1
WOLBER,1
FREIE TANKSTELLE ESCH,1
HIRSCHMANN,1
BENDIX,1
EBERHARDT,1
SCHARR-TANKSTELLE,1
TANKHOF RIEGEL FREIE TANKST.,1
T (SUPERMARKT TS),1
SAUERWALD,1
CARL MENNER,1
AUTOHAUS ANTON SEGBERT GMBH & CO.  KG,1
CU24H,1
TANKSTELLE ZENS GMBH,1
BFT TANKSTELLE MUCKE,1
WITTIG TANKAUTOMATENSTATION,1
LKT,1
ROTH ENERGIE & TANKSTOP BEST,1
NEO,1
TANKSTELLE LÖSENBACH,1
CAR FRIEDRICH GMBH,1
AUTOHAUS HACKMANN,1
KIRSCHBAUM,1
FREIE TANKSTELLE WEILHEIM-TECK,1
TANKSTELLE EMMERLING,1
TANKSTELLE GREIL,1
SCHONHOFF GMBH,1
FREIE/ESSOTANKSTELLE,1
TANKLAGER BAACK,1
TANKSTATION OESPEL 6-22H,1
TANKHOF NORSINGEN,1
EASY SPRIT,1
AUTOHAUS SCHMID,1
RUDI STROBLER,1
BFT TANKSTELLE MICHAEL RICHTER,1
EDUARD KERN KFZ GMBH,1
C+C OBERALLGÄU LANG-STEUDLER,1
JAF TANK GMBH,1
FREIE TANKSTELLE HANNÖVER,1
TANKSTELLE EHRET,1
TANKSTELLE AM WASCHPARK,1
ROSSNAGEL TANKSTELLE,1
ELAN XPRESS,1
Q1 SCHERER,1
TANKSTELLE WEISS HÜNXE,1
FREIE SB-TANKSTELLE FEIL,1
WESTRANS 24/7,1
FLAEMING TANK,1
EC - TANKSTELLE ROLFES,1
BFT FREIE TANKSTELLE BADBERGEN,1
FREIE TANKSTELLE GERTKEN,1
BFT - FREIE TANKSTELLE,1
AUTO-KOHLER KG,1
AUTOHAUS ROTH 24H,1
SIDLER TRILLFINGEN 24H,1
TANKSTELLE NUSPLINGEN,1
FREIE TANKSTELLE DITTMANN,1
FREIE TANKSTELLE BÖRDEGRÜN,1
TANKSTELLE UNTERKIRNACH,1
TANKSTELLE HIRSE,1
KFZ-SERVICE SCHNEIDER,1
GES GREFRATHER ENERGIE,1
SB TANKEN 24H,1
NORDGARAGE 24H,1
BFT ZUM BOXENSTOP,1
BHG TANKSTELLE GMBH,1
MINERALÖLVERTRIEB NOEKE GMBH,1
MHT,1
KAISER ENERGIE,1
ARNS TANKSTATION BEVERGER,1
MYENERGY,1
SB TANKSTELLE RAKER,1
CALPAM EXPRESS OBER-RAMSTADT,1
FREIE TANKSTELLE AH MEYER,1
PM EXPRESS,1
TANKSTELLE PFLEFKA,1
24H TANKEN,1
TANKSTELLE DREYER,1
TANK UND WASCHSERVICE SCHUCH,1
HALFMANN MINERALÖL GMBH & CO. KG,1
DIE GRÜNE,1
CITY TANK,1
ACB-AUTOCENTER-BIBERACH,1
K U. W TANKSTELLE GBR,1
AUTOMATEN-TANKSTELLE,1
BS TANK,1
EUROTANK,1
MC SPRIT,1
BFT TANKSTELLE MEYER,1
TANKSTELLE MAHLSTETTEN,1
BFT TANKSTELLE ALTE HUETTE,1
LANWEHR,1
TANKSTELLE DONAUTAL,1
R. TESCHE GMBH,1
AUTO GERBAULET,1
CALPAM 24/7,1
SH TANKSTELLE S. HIRLAK,1
NITROL TANKSTATION AHLERT JUNIOR,1
CLASSIC BLUMLAGE,1
RUBART,1
BROERING TANKSTELLE,1
TANK- UND WASCHPARK LAHR,1
STRELAPARK TANK,1
LIQUI-MOLY,1
NORDOEL TANKAUTOMAT,1
RM KRAFTSTOFFE,1
AUTO CLAASSEN GMBH,1
TANKHOF ANDERS,1
FREIE TANKSTELLE HARTMUT WREDE,1
TANK 24,1
TANKSTELLE-REILMANN,1
STB TANKSTELLE,1
CE STATION,1
DEA,1
BFT DOBNER,1
DEPENBROCK FREIE TANKSTELLE,1
TANKSTELLE GRÖDITSCH,1
P&K TANK-UND DL GMBH,1
RAIFFEISEN HUNSRUECK,1
TANKSTELLEN VOSS GMBH,1
FROMMANN ENERGIE,1
AUTO SEIDL,1
FREIE TANKSTELLE KEMPER,1
SB TANKSTELLE WALLNER,1
AUTOHAUS KUMMICH GMBH,1
FREIE TANKSTELLE HARTMANN,1
TANKSTELLE LICHTENFELS,1
FREIE TANKSTELLE LÖGERING,1
KFZ STIEBITZ,1
S.M.T. GMBH,1
EC-TANKSTELLE MEEMKEN,1
KLINK,1
FREIE TANKSTELLE AUTOHAUS KNIEPER GMBH,1
24-STUNDEN TANKSTELLE SELLNER,1
BFT TANKSTELLE EMIR,1
BFT KRÜGER HODENHAGEN,1
LUDWIG MINERALÖLE,1
TANK SCHÄFER,1
FLEMING + WENDELN GMBH & CO. KG,1
WALTHER AUTOMATENTANKSTELLE,1
K&S FREIE TANKSTELLE,1
TANKSTELLE KIRCHDORF,1
FIP TANKCENTER LAGGENBECK,1
CH-TANK,1
CLEANCAR TANKAUTOMAT,1
CLEANPOINT,1
METZ GMBH,1
ASL AUTOSERVICE LAARWALD GMBH,1
RUMAG ENERGY TANKSTELLE,1
GÜNSTIG-TANKEN AUTOMATENSTATION,1
SUPERMARKT TANKSTELLE,1
FIP TANKCENTER DÖRENTHE,1
TECKLENBURG TANKSTELLE,1
DEMO TANK,1
KARO TANKSTELLE (FREI),1
AUTOHOF FRECHEN (MUNDORF TANK),1
BFT TANKSTELLE KURNAZ,1
BMÖ XPRESS,1
ZAHRADNIK GMBH,1
FREIETANKSTELLE STRATMANN,1
REWE-TANKSTELLE,1
BFT TANKSTELLE HARTENSTEIN,1
TS - GREIL IFFELDORF,1
SCHWARZKOPF,1
HAUSER.TANKSTELLE,1
Q1 KAISER,1
BFT TANKSTELLE FINDER,1
FREIE TANKST.,1
BASO EXPRESS,1
TANKSTELLE AURES,1
FREIE TANKSTELLE PUTBUS,1
LÖLFIN,1
RAIFFEISEN TUNGELN,1
RAIFFEISEN BENTHULLEN,1
TANK & WASCH UDO ROSCH,1
BFT - TANKSTELLE LAUBACH,1
FREIE TANKSTELLE SCHRAMM,1
FREIE TANKSTELLE HÜNDL,1
AUTOHAUS BODACH GMBH & CO. KG,1
PROFI-T,1
K1 TANSTELLE,1
BFT SENG HATTENHOF,1
TANKSTELLE AM KRAFTWERK,1
AUTOHAUS OTTO MENGER GMBH & CO. KG,1
FTF TANKSTELLE MULDA,1
BFT - TANKSTELLE,1
KAISER/FREIE-24H-TANKSTELLE,1
PETER EGGERS GMBH,1
CLASSIC TANKCENTER ALBERS,1
CLASSIC/WEVAG,1
BFT TANKSTELLE WEDDING E.K.,1
CH-TANK OST,1
RLT,1
CLASSIC SCHERER,1
FREIE TANKSTELLE PÖPKEN,1
BFT H. GR. HÖÖTMANN TANKSTELLEN GMBH,1
AUTO-SERVICE-BUND,1
AZUR,1
ROTH,1
BAG HOHENLOHE,1
FREIE TANKSTELLE FEHER,1
BFT AUTOMATENTANKSTELLE,1
TANKSTELLE AMLER,1
TURBO,1
FREIE AUTOMATENTANKSTELLE,1
FREIE TANKSTELLE FRANK ZILLER E.K.,1
TANKSTELLE SCHMID,1
ZAHRADNIK,1
SEEL MINERALÖLE,1
TANKDISCOUNT24,1
TANKSTELLE KLAESER,1
TSR - ROSSI,1
RAIFFEISEN - LBAG SCHMALENBRÜCKE EG,1
MTB TANKSTELLE AUTO-HEIDT,1
TANKSTELLE DENNER,1
AUTOFIT FREIE TANKSTELLE,1
MINERA  AUTOMATENSTATION,1
BLAKERT.DE VW IN OSTERWICK,1
LEINS AUTOMATENTANKSTELLE,1
LANFER-ENERGIE,1
UNGER + GUTHIER GMBH,1
BFT-FREIE TANKSTELLE,1
MTB-WECKERLE,1
WURZER R. - FREIE TANKSTELLE,1
BREIPOHL,1
TANKSTELLE WEGENER,1
WEVAG,1
B-STATION,1
ZULAUF TANKEN,1
KURZ-EBERT TELGTE TANKSTELLE,1
BFT-TANKSTELLE VOGL,1
WILLI WALTER GMBH,1
FREIE TANKSTELLE UNION TANKHOF,1
FREIE TANKSTELLE HEROLD,1
TS AM ADMIRA CENTER,1
VON BRONK,1
AUTOHAUS KNÖPFLE,1
STORZ HEIZTECHNIK,1
AUTO-WENTSCH MTB,1
FREIE TANKSTELLE E. WIPPENHOHN E.K.,1
SBT,1
DBV,1
TANKSTATION STRUTHÜTTEN 24/7,1
TANKCENTER BADZIONG,1
TANK UND WASCHHELD,1
AUTOHAUS SCHMIDT,1
E+C,1
FIP TANKCENTER METTINGEN,1
EXPRESS TANK,1
BFT TANKSTELLE NEUSSEL,1
TANKTREFF KREMPERHEIDE,1
BHG BRENNSTOFFHANDEL GROSSER GMBH - TANKSTELLE AN DER B101,1
LANFER ENERGIE,1
DT DIETEL TANK,1
SELGROS,1
MARKTKAUF TANKSTELLE,1
AGROSERVICE TANKSTELLE WALDENBURG,1
NEUMANN TANKSTELLE GMBH,1
CALPAM TANKSTELLE,1
SCHILLHORN TANKSTELLEN,1
K&S,1
HOYER BEI DODENHOF,1
SUPERMARKT C&C,1
TANKSTELLE LANGWASSER,1
LÖLFIN TANKSTELLE,1
TANKSTATION LAMMERSDORF CALPAM,1
SCHÄFER,1
FREIE TANKSTELLE BISSLICH,1
FREIE TANKSTELLE GS TANK SCHMIDT,1
DRIVERS INN TANKSTELLE,1
GLOBUS BAUMARKT WITTLICH,1
OEL - HEIM,1
TANKSTELLE CUNOW MARKLOHE,1
TANKSTELLE CUNOW NIENBURG,1
CITI OIL SB TANKSTELLE,1
FREIE TANKSTELLE KRENN,1
TANKCENTER SONNBORN,1
AGRON,1
AGROSERVICE TANKSTELLE NOBITZ,1
SUPER WASH,1
AGTEN FREIE TANKSTELLE,1
DONIG ARAL-VERTRIEB,1
BFT TANKSTELLE SCHLOSSVIPPACH,1
