operator,station_count
TANKHOF ANDERS,1
AUTOHAUS KUMMICH GMBH,1
STAAK POOLTANKSTELLEN GMBH,1
TANKSTELLE SCHARLIBBE,1
CALPAM TANKSTELLE,1
STOFFMEHL,1
TOP,1
TANKSTATION ST. INGBERT CALPAM,1
FREIE TANKSTELLE NEUSAESS,1
SAUERWALD,1
MLZ,1
EBERHARDT FORST,1
AUTOMATEN-TANKSTELLE,1
KAISER FREIE TANKSTELLE/SHOP,1
K&S FREIE TANKSTELLE,1
TANKSTELLE PAUL ZIEFLE,1
TANKSTELLE WACHINGER,1
TANKSTELLE MAUERMAYER & JÄGER,1
BFT TANKSTELLE MICHAEL RICHTER,1
WITTIG TANKAUTOMATENSTATION,1
AUTOHAUS SCHÜTT - FREIE TANKSTELLE,1
DEPPE FREIE TANKSTELLEN,1
BEDUCKER,1
BFT FREIE TANKSTELLE BADBERGEN,1
AUTO SPEGEL,1
CLASSIC BLUMLAGE,1
BFT-WALTHER,1
TANKSTELLE GREIL,1
BHM BEYER,1
WOLBER,1
STRASSBURGER ENERGY,1
FREIE TANKST.,1
AGRITURA RAIFFEISEN EG,1
TANKSTELLE BILY GMBH & CO KG,1
PS-LADEN,1
SB-TANKSTELLE ILLERPARK RIEDEN,1
CU24H,1
EINHÄUPL,1
ANDREAS SAUTER GMBH & CO. KG,1
GÜNSTIG-TANKEN AUTOMATENSTATION,1
DIE GRÜNE,1
KAISER/FREIE-24H-TANKSTELLE,1
FREIE TANKSTELLE ESCH,1
AUTO-KOHLER KG,1
BFT LUTZ GMBH VW-AUDI-SERVICE,1
TANK UND WASCHHELD,1
RAIFFEISENAGRAR - ZWEIGBETRIEB DER VR BANK EG OSNABRÜCKER NORDLAND,1
TANKSTELLE PFRANG  AUB,1
BAG CREGLINGEN,1
SBK - TANKSTELLE,1
ALBERT BECK,1
TANKSTELLEN VOSS GMBH,1
BHG BRENNSTOFFHANDEL GROSSER GMBH - TANKSTELLE AN DER B101,1
BURKHARD,1
CLASSIC SCHERER,1
ELAN XPRESS,1
MTB - FILDERSTADT  FORD-STAUCH,1
TANK 24,1
OTTO STEINER,1
LANGLITZ MINERALÖL GMBH,1
LÖLFIN TANKSTELLE,1
24-STUNDEN TANKSTELLE SELLNER,1
BFT TANKSTELLE EWALD LEIBER,1
BFT SEEHAUSEN WANZLEBEN,1
TS - GREIL IFFELDORF,1
RAIFFEISEN WINZER GMBH,1
MARKTKAUF TANKSTELLE,1
TANKSTELLE MP-21,1
AUTOHAUS BODACH GMBH & CO. KG,1
